circuitId,circuitRef,name_x,location,country,lat,lng,alt,url,name_y,Last length used,Turns,image_url,local_image_path
46,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,485,http://en.wikipedia.org/wiki/Watkins_Glen_International,Watkins Glen International,5.430Â km (3.374Â mi),10,https://upload.wikimedia.org/wikipedia/commons/5/59/Watkins_Glen_1975-1983.png,
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,153,http://en.wikipedia.org/wiki/Scandinavian_Raceway,Scandinavian Raceway,4.031Â km (2.505Â mi),8,https://upload.wikimedia.org/wikipedia/commons/b/bf/Scandinavian_Raceway_1978.svg,
48,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,332,http://en.wikipedia.org/wiki/Mosport,Mosport International Raceway,3.957Â km (2.459Â mi),10,https://upload.wikimedia.org/wikipedia/commons/c/cb/Mosport.svg,
49,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,79,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,MontjuÃ¯c circuit,3.791Â km (2.356Â mi),18,https://upload.wikimedia.org/wikipedia/commons/b/b7/Montju%C3%AFc_circuit.svg,
50,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,139,http://en.wikipedia.org/wiki/Nivelles-Baulers,Nivelles-Baulers,3.724Â km (2.314Â mi),7,https://upload.wikimedia.org/wikipedia/commons/0/0f/Circuit_Nivelles-Baulers.png,
51,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,790,http://en.wikipedia.org/wiki/Charade_Circuit,Charade Circuit,8.055Â km (5.005Â mi),38,https://upload.wikimedia.org/wikipedia/commons/c/ce/Circuit_Charade_1958_1988.png,
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,214,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,Circuit Mont-Tremblant,4.265Â km (2.650Â mi),15,https://upload.wikimedia.org/wikipedia/commons/1/14/Circuit_Mont_Tremblant.png,
53,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,81,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,Rouen-Les-Essarts,6.542Â km (4.065Â mi),13,https://upload.wikimedia.org/wikipedia/commons/4/45/Rouen_track_layout_1955-1971.gif,
54,lemans,Le Mans,Le Mans,France,47.95,0.224231,67,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,Bugatti Au Mans,4.430Â km (2.753Â mi),8,https://upload.wikimedia.org/wikipedia/commons/d/d5/Circuit_Le_Mans_Bugatti.png,
55,reims,Reims-Gueux,Reims,France,49.2542,3.93083,88,http://en.wikipedia.org/wiki/Reims-Gueux,Circuit de Reims-Gueux,8.302Â km (5.159Â mi),6,https://upload.wikimedia.org/wikipedia/commons/f/fa/Circuit-Reims-1954.png,
